URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/rarelink-familyhistory,StructureDefinition/rarelink-ips-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/uv/ips/ValueSet/problem-type-uv-ips,2.0.2-ballot,active,,ProblemTypeUvIps,Problem Type - IPS,"This value set provides a category for the condition as a clinical problem for inclusion in the patient summary.","StructureDefinition/rarelink-ips-condition,StructureDefinition/rarelink-condition-undiagnosed-rd-case","THO"
http://hl7.org/fhir/uv/ips/ValueSet/problems-uv-ips,2.0.2-ballot,active,,ProblemsUvIps,Problems - IPS,"IPS Problem (Condition) codes value set.  This value set includes codes from SNOMED CT®: all descendants of 404684003 \|Clinical finding (finding)\|; all descendants of 243796009 \|Situation with explicit context (situation)\|; all descendants of 272379006 \|Event (event)\|; all descendants or self of 160245001 \|No current problems or disability (situation)\|.  The descendants of 71388002 \|Procedure (procedure)\| (which were included in the CORE problem list) are not included, as they are expected to be represented separately in the History of Procedures Section.  SNOMED CT® ECL definition:\ < 404684003 \|Clinical finding (finding)\| OR < 243796009 \|Situation with explicit context (situation)\| OR < 272379006 \|Event (event)\| OR \<\< 160245001 \|No current problems or disability (situation)\|","StructureDefinition/rarelink-ips-condition,StructureDefinition/rarelink-condition-undiagnosed-rd-case","SCT"
http://hl7.org/fhir/uv/ips/ValueSet/procedures-uv-ips,2.0.2-ballot,active,,ProceduresUvIps,Procedures - IPS,"IPS Procedure codes value set.  This value set includes codes from SNOMED CT®: all descendants of 71388002 \|Procedure (procedure)\|; excluding [all descendants or self of 14734007 \|Administrative procedure (procedure)\|; all descendants or self of 59524001 \|Blood bank procedure (procedure)\|; all descendants or self of 389067005 \|Community health procedure (procedure)\|; all descendants or self of 442006003 \|Determination of information related to transfusion (procedure)\|; all descendants or self of 225288009 \|Environmental care procedure (procedure)\|; all descendants or self of 308335008 \|Patient encounter procedure (procedure)\|; all descendants or self of 710135002 \|Promotion (procedure)\|; all descendants or self of 389084004 \|Staff related procedure (procedure)\|]; including all descendants or self of 787480003 \|No known procedures (situation)\|  SNOMED CT® ECL definition:\ (< 71388002 \|Procedure (procedure)\| MINUS (\<\< 14734007 \|Administrative procedure (procedure)\| OR \<\< 59524001 \|Blood bank procedure (procedure)\| OR \<\< 389067005 \|Community health procedure (procedure)\| OR \<\< 442006003 \|Determination of information related to transfusion (procedure)\| OR \<\< 225288009 \|Environmental care procedure (procedure)\| OR \<\< 308335008 \|Patient encounter procedure (procedure)\| OR \<\< 710135002 \|Promotion (procedure)\| OR \<\< 389084004 \|Staff related procedure (procedure)\|)) OR << 787480003 \|No known procedures (situation)\|","StructureDefinition/rarelink-ips-procedure","SCT"
http://hl7.org/fhir/uv/ips/ValueSet/results-radiology-numobs-uv-ips,2.0.2-ballot,active,,ResultsRadiologyMeasurementObservationUvIps,Results Radiology Measurement Observation - IPS,"Extensible value set including SNOMED CT and DICOM concepts for Linear, Area and Volume Measurements","StructureDefinition/rarelink-ips-measurement-laboratory,StructureDefinition/rarelink-ips-measurement-radiology","SCT,DICOM"
http://hl7.org/fhir/uv/ips/ValueSet/results-radiology-observations-uv-ips,2.0.2-ballot,active,,ResultsRadiologyObservationUvIps,Results Radiology Observation - IPS,"Value Set Definition:  LOINC {STATUS in {ACTIVE}, CLASS in LP29684-5 (\""RAD\"")}","StructureDefinition/rarelink-ips-measurement-laboratory,StructureDefinition/rarelink-ips-measurement-radiology","LOINC"
http://hl7.org/fhir/uv/ips/ValueSet/results-radiology-txtobs-uv-ips,2.0.2-ballot,active,,ResultsRadiologyTextualObservationUvIps,Results Radiology Textual Observation - IPS,"IPS Results Radiology Textual Observation","StructureDefinition/rarelink-ips-measurement-laboratory,StructureDefinition/rarelink-ips-measurement-radiology","SCT,LOINC,DICOM"
http://hl7.org/fhir/uv/ips/ValueSet/results-status-uv-ips,2.0.2-ballot,active,,ResultsStatusUvIps,Results Status Codes - IPS,"IPS Observation status codes allowable for results.  This value set includes the subset of \""complete\"" (results available, with no further actions needed or anticipated) status codes from http://hl7.org/fhir/observation-status.","StructureDefinition/rarelink-ips-measurement-laboratory,StructureDefinition/rarelink-ips-measurement-radiology","hl7.fhir.r4.core"
http://loinc.org/vs/LL1040-6,2.80,active,,LOINCAnswerListLL1040_6,,"LOINC Answer list for code LL1040-6: HumanRefSeqNCBIBuildId","StructureDefinition/rarelink-genetic-variant","LOINC"
http://loinc.org/vs/LL1971-2,2.80,active,,LOINCAnswerListLL1971_2,,"LOINC Answer list for code LL1971-2: Variant Assess","StructureDefinition/rarelink-genetic-variant","LOINC"
http://loinc.org/vs/LL2938-0,2.80,active,,LOINCAnswerListLL2938_0,,"LOINC Answer list for code LL2938-0: List of human chromosomes","StructureDefinition/rarelink-genetic-variant","LOINC"
http://loinc.org/vs/LL378-1,2.80,active,,LOINCAnswerListLL378_1,,"LOINC Answer list for code LL378-1: MG_2_Genetic variant source","StructureDefinition/rarelink-genetic-variant","LOINC"
http://loinc.org/vs/LL381-5,2.80,active,,LOINCAnswerListLL381_5,,"LOINC Answer list for code LL381-5: MG_5_Genetic variant allelic state","StructureDefinition/rarelink-genetic-variant","LOINC"
http://loinc.org/vs/LL4034-6,2.80,active,,LOINCAnswerListLL4034_6,,"LOINC Answer list for code LL4034-6: ACMG_Clinical significance of genetic variation","StructureDefinition/rarelink-diagnostic-implication","LOINC"
http://loinc.org/vs/LL4048-6,2.80,active,,LOINCAnswerListLL4048_6,,"LOINC Answer list for code LL4048-6: Structural variant analysis method","StructureDefinition/rarelink-genetic-variant","LOINC"
http://loinc.org/vs/LL4050-2,2.80,active,,LOINCAnswerListLL4050_2,,"LOINC Answer list for code LL4050-2: Basis for allelic phase","StructureDefinition/rarelink-genetic-variant","LOINC"
http://loinc.org/vs/LL5323-2,2.80,active,,LOINCAnswerListLL5323_2,,"LOINC Answer list for code LL5323-2: Genomic coordinate system","StructureDefinition/rarelink-genetic-variant","LOINC"
http://loinc.org/vs/LL5489-1,2.80,active,,LOINCAnswerListLL5489_1,,"LOINC Answer list for code LL5489-1: Origin of Genetic Variance","StructureDefinition/rarelink-genetic-variant","LOINC"
http://terminology.hl7.org/ValueSet/condition-clinical,1.0.1,active,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/rarelink-ips-condition","THO"
http://terminology.hl7.org/ValueSet/condition-ver-status,1.0.1,active,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/rarelink-ips-condition","THO"
http://terminology.hl7.org/ValueSet/v2-0092,2.0.2,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/rarelink-encounter","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/rarelink-encounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/rarelink-encounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-FamilyMember,3.0.0,active,"2.16.840.1.113883.1.11.19579",FamilyMember,FamilyMember,"A relationship between two people characterizing their ""familial"" relationship","StructureDefinition/rarelink-familyhistory","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-PurposeOfUse,3.1.0,active,"2.16.840.1.113883.1.11.20448",PurposeOfUse,PurposeOfUse,"Supports communication of purpose of use at a general level.","StructureDefinition/rarelink-consent","THO (V3)"
https://github.com/BIH-CEI/RareLink/ValueSet/age-at-diagnosis-vs,2.0.2,draft,,AgeAtDiagnosisVS,Age at Diagnosis Value Set,"Value set for capturing age at diagnosis.","StructureDefinition/age-at-diagnosis","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/age-at-onset-vs,2.0.2,draft,,AgeAtOnsetVS,Age at Onset Value Set,"Value set for capturing age at onset.","StructureDefinition/age-at-onset","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/age-category-vs,2.0.2,draft,,AgeCategoryVS,Age Category Value Set,"Value set for capturing the age category of a patient.","StructureDefinition/rarelink-observation-age-category","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/age-of-onset-vs,2.0.2,draft,,AgeOfOnsetVS,Age of Onset Value Set,"Value set for capturing the age of onset for phenotypes.","StructureDefinition/rarelink-phenotypic-feature","Other"
https://github.com/BIH-CEI/RareLink/ValueSet/agreement-to-be-contacted-vs,2.0.2,draft,,AgreementToBeContactedVS,Agreement to Be Contacted Value Set,"Value set for capturing agreement to be contacted for research.","StructureDefinition/agreement-to-be-contacted","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/clinical-significance-vs,2.0.2,draft,,ClinicalSignificanceVS,Clinical Significance Value Set,"LOINC LA codes for the clinical significance of a variant.","StructureDefinition/rarelink-diagnostic-implication","LOINC"
https://github.com/BIH-CEI/RareLink/ValueSet/consanguinity-vs,2.0.2,draft,,ConsanguinityVS,Consanguinity Value Set,"Value set for indicating whether there is consanguinity in the family relationship.","StructureDefinition/consanguinity","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/consent-to-reuse-vs,2.0.2,draft,,ConsentToReuseVS,Consent to Reuse Data Value Set,"Value set for capturing consent to reuse data.","StructureDefinition/consent-to-reuse-data","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/dna-change-type-vs,2.0.2,draft,,DNAChangeTypeVS,DNA Change Type Value Set,"LOINC LA codes enumerating various DNA change types.","StructureDefinition/rarelink-genetic-variant","LOINC"
https://github.com/BIH-CEI/RareLink/ValueSet/encounter-class-vs,2.0.2,draft,,EncounterClassVS,Encounter Class Value Set,"Value set for encounter classes, including custom RareLink-specific codes.","StructureDefinition/rarelink-encounter","SCT,FHIR,Other"
https://github.com/BIH-CEI/RareLink/ValueSet/family-relationship-vs,2.0.2,draft,,FamilyRelationshipVS,Family Relationship Value Set,"Value set for capturing family member relationships.","StructureDefinition/rarelink-familyhistory","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/family-sex-vs,2.0.2,draft,,FamilySexVS,Family Member Sex Value Set,"Value set for capturing the sex of a family member.","StructureDefinition/rarelink-familyhistory","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/genomic-source-class-vs,2.0.2,draft,,GenomicSourceClassVS,Genomic Source Class Value Set,"LOINC LA codes enumerating germline, somatic, fetal, etc.","StructureDefinition/rarelink-genetic-variant","LOINC"
https://github.com/BIH-CEI/RareLink/ValueSet/karyotypic-sex-vs,2.0.2,draft,,KaryotypicSexVS,Karyotypic Sex Value Set,"Value set for capturing karyotypic sex.","StructureDefinition/rarelink-karyotypic-sex","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/level-of-evidence-vs,2.0.2,draft,,LevelOfEvidenceVS,Level of Evidence Value Set,"LOINC LA codes describing evidence strength for a variant.","StructureDefinition/rarelink-diagnostic-implication","LOINC"
https://github.com/BIH-CEI/RareLink/ValueSet/phenotype-status-vs,2.0.2,draft,,PhenotypeStatusVS,Phenotype Status Value Set,"Value set for capturing phenotype status.","StructureDefinition/phenotype-status","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/phenotypie-severity-vs,2.0.2,draft,,PhenotypeSeverityVS,Phenotype Severity Value Set,"Value set for capturing phenotype severity.",,"Other"
https://github.com/BIH-CEI/RareLink/ValueSet/propositus-vs,2.0.2,draft,,PropositusVS,Propositus Value Set,"Value set for indicating whether the family member is the propositus.","StructureDefinition/propositus","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/reference-genome-vs,2.0.2,draft,,ReferenceGenomeVS,Reference Genome Value Set,"LOINC LA codes specifying the reference genome build.","StructureDefinition/rarelink-genetic-variant","LOINC"
https://github.com/BIH-CEI/RareLink/ValueSet/severity-vs,2.0.2,draft,,SeverityVS,Severity Value Set,"Value set for severity levels of conditions.","StructureDefinition/rarelink-ips-condition","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/sex-at-birth-vs,2.0.2,draft,,SexAtBirthVS,Sex at Birth Value Set,"Value set for capturing the sex assigned at birth.","StructureDefinition/recorded-sex-at-birth","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/structural-variant-method-vs,2.0.2,draft,,StructuralVariantMethodVS,Structural Variant Method Value Set,"LOINC LA codes enumerating methods for detecting structural variants.","StructureDefinition/rarelink-genetic-variant","LOINC"
https://github.com/BIH-CEI/RareLink/ValueSet/temporal-pattern-vs,2.0.2,draft,,TemporalPatternVS,Temporal Pattern Value Set,"Value set for capturing the temporal pattern of phenotypic features.",,"Other"
https://github.com/BIH-CEI/RareLink/ValueSet/undiagnosed-rd-case-vs,2.0.2,draft,,UndiagnosedRDCaseVS,Undiagnosed Rare Disease Case Value Set,"Value set for capturing undiagnosed rare disease cases.","StructureDefinition/rarelink-condition-undiagnosed-rd-case","SCT,Other"
https://github.com/BIH-CEI/RareLink/ValueSet/vital-status-vs,2.0.2,draft,,VitalStatusVS,Vital Status Value Set,"Value set for capturing the vital status of the patient.","StructureDefinition/vital-status","SCT"
https://github.com/BIH-CEI/RareLink/ValueSet/zygosity-vs,2.0.2,draft,,ZygosityVS,Zygosity Value Set,"LOINC LA codes enumerating various zygosity states.","StructureDefinition/rarelink-genetic-variant","LOINC"
